,Team,PTS,GP,W,L,D,GF,GA,GD
0,1. Manchester City (X),12,6,4,2,0,18,10,8
1,2. Paris Saint-Germain (X),11,6,3,1,2,13,8,5
2,3. RB Leipzig,7,6,2,3,1,15,14,1
3,4. Club Brugge,4,6,1,4,1,6,20,-14
0,1. Liverpool (X),18,6,6,0,0,17,6,11
1,2. Atletico Madrid (X),7,6,2,3,1,7,8,-1
2,3. FC Porto,5,6,1,3,2,4,11,-7
3,4. AC Milan,4,6,1,4,1,6,9,-3
0,1. Ajax (X),18,6,6,0,0,20,5,15
1,2. Sporting CP (X),9,6,3,3,0,14,12,2
2,3. Borussia Dortmund,9,6,3,3,0,10,11,-1
3,4. Besiktas JK,0,6,0,6,0,3,19,-16
0,1. Real Madrid (X),15,6,5,1,0,14,3,11
1,2. Inter Milan (X),10,6,3,2,1,8,5,-3
2,3. FC Sheriff Tiraspol,7,6,2,3,1,7,11,-4
3,4. Shakhtar Donetsk,2,6,0,4,2,2,12,-10
0,1. Bayern Munich (X),18,6,6,0,0,22,3,19
1,2. Benfica (X),8,6,2,2,2,7,9,-2
2,3. FC Barcelona,7,6,2,3,1,2,9,-7
3,4. Dynamo Kiev,1,6,0,5,1,1,11,-10
0,1. Manchester United (X),11,6,3,1,2,11,8,3
1,2. Villarreal (X),10,6,3,2,1,12,9,3
2,3. Atalanta,6,6,1,2,3,12,13,-1
3,4. BSC Young Boys,5,6,1,3,2,7,12,-5
0,1. LOSC Lille (X),11,6,3,1,2,7,4,3
1,2. RB Salzburg (X),10,6,3,2,1,8,6,2
2,3. Sevilla,6,6,1,2,3,5,5,0
3,4. VfL Wolfsburg,5,6,1,3,2,5,10,-5
0,1. Juventus (X),15,6,5,1,0,10,6,4
1,2. Chelsea (X),13,6,4,1,1,13,4,9
2,3. FC Zenit,5,6,1,3,2,10,10,0
3,4. Malmo FF,1,6,0,5,1,1,14,-13
